item,size,place,observed_on,date_source,median,n
1 pancake 1 egg,,Code 4 Taphouse,2025-11-15,exif,7.95,2
12 piece chicken nuggets,,Barney's Burgers,2024-01-15,dom,6.99,1
3 dollar sized pancakes and 1 egg,,Code 4 Taphouse,2025-11-15,exif,7.95,2
3 way leaf,,Genova Delicatessen,2026-08-05,fallback,12.95,1
4 bacon,,The Depot Eatery,2026-08-05,web,18.0,1
4 links or 2 patties,,The Depot Eatery,2026-08-05,web,18.0,1
4 pc chicken mcnuggets,,McDonald's,2022-04-16,exif,4.42,4
a 1 steak sauce,,Five Guys,2023-11-27,exif,0.15,1
add additional salad,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,7.0,1
add additional side,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,7.0,1
add avocado,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,4.0,1
add bacon,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,4.0,1
add pulled chicken,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,7.0,1
add pulled chicken,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,7.0,1
add pulled chicken,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,9.0,1
add sunny side up egg,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,5.0,1
add whipped cream,,Five Guys,2023-11-27,exif,0.2,1
additional main course,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,10.0,1
additional main course,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,10.0,1
additional main course,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,10.0,2
additional main course,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,10.0,1
additional salad,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,7.0,1
additional salad,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,7.0,1
additional side,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,7.0,1
additional side,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,7.0,1
additional side,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,7.0,2
all beef hot dog,,Five Guys,2023-11-27,exif,5.6,1
all extras,,Genova Delicatessen,2026-08-05,fallback,1.5,1
all the way,,Five Guys,2023-11-27,exif,1.9,1
allegash white ale,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,6.0,1
allegash white ale,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,6.0,1
allegash white ale,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,6.0,1
americano,,McDonald's,2022-04-16,exif,3.55,1
apple farm apple juice,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,5.0,1
assorted pastries,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,3.5,1
assorted pastries,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,3.5,1
assorted pastries,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,3.5,1
avocado,,Genova Delicatessen,2026-08-05,fallback,2.0,1
avocado chicken,,Barney's Burgers,2024-01-15,dom,8.99,1
avocado chicken,,Barney's Burgers,2026-08-05,web,9.5,1
avocado jack,,Barney's Burgers,2024-01-15,dom,10.99,1
