place,items,median_item_price
Five Guys,51,1.9
In-N-Out Burger,50,2.55
Burgerville,865,2.99
McDonald's,30,3.62
Gott's Napa,1840,7.99
Farmstead at Long Meadow Ranch,199,8.0
Cartwright's Taprock Northwest Grill,73,8.0
Taqueria El Charro Viejo,6,8.5
Barney's Burgers,147,8.8
Jack in the Box,17,10.59
Genova Delicatessen,58,12.95
Code 4 Taphouse,27,14.75
Bistro Don Giovanni,1323,15.0
Angele Restaurant & Bar,1253,16.0
The Depot Eatery,86,17.0
Perez Kitchen & Bar,39,17.0
River's Edge Restaurant,4,19.5
Boon Fly Café,2,20.5
