item,size,place,observed_on,date_source,median,n
1 pancake 1 egg,,Code 4 Taphouse,2025-11-15,exif,7.95,2
12 piece chicken nuggets,,Barney's Burgers,2024-01-15,dom,6.99,1
21st amendment black ipa,,Gott's Napa,2013-02-28,wayback,4.5,2
21st amendment extra pale ale,,Gott's Napa,2013-02-28,wayback,4.5,2
3 dollar sized pancakes and 1 egg,,Code 4 Taphouse,2025-11-15,exif,7.95,2
3 way leaf,,Genova Delicatessen,2026-08-05,fallback,12.95,1
4 bacon,,The Depot Eatery,2026-08-05,web,18.0,1
4 links or 2 patties,,The Depot Eatery,2026-08-05,web,18.0,1
4 pc chicken mcnuggets,,McDonald's,2022-04-16,exif,4.42,4
a 1 steak sauce,,Five Guys,2023-11-27,exif,0.15,1
a b l t,,Gott's Napa,2011-03-22,wayback,7.99,2
a b l t,,Gott's Napa,2012-05-15,wayback,7.99,2
a b l t,,Gott's Napa,2014-08-11,wayback,10.99,1
a b l t,,Gott's Napa,2014-12-22,wayback,10.99,2
a b l t,,Gott's Napa,2015-02-06,wayback,10.99,2
a b l t,,Gott's Napa,2015-05-13,wayback,10.99,2
a b l t,,Gott's Napa,2015-07-24,wayback,10.99,1
a b l t,,Gott's Napa,2015-11-23,wayback,10.99,1
a b l t,,Gott's Napa,2017-07-22,wayback,10.99,1
a blt,,Gott's Napa,2014-08-11,wayback,10.99,1
a siciliana aranciata,,Bistro Don Giovanni,2023-12-05,wayback,8.0,1
a siciliana limonata,,Bistro Don Giovanni,2023-12-05,wayback,8.0,1
acqua fresca,,Bistro Don Giovanni,2017-01-10,wayback,6.0,1
acqua fresca,,Bistro Don Giovanni,2019-09-19,wayback,6.0,1
add a patty to any burger,,Gott's Napa,2014-10-29,wayback,3.0,1
add additional salad,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,7.0,1
add additional side,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,7.0,1
add avocado,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,4.0,1
add bacon,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,4.0,1
add cheddar cheese,,Gott's Napa,2014-12-22,wayback,1.0,1
add cheddar cheese,,Gott's Napa,2017-07-22,wayback,1.0,1
add chicken,,Gott's Napa,2017-07-22,wayback,4.0,1
add chocolate syrup malt oreos,,Gott's Napa,2012-05-15,wayback,1.25,1
add chocolate syrup malt oreos,,Gott's Napa,2014-08-11,wayback,1.25,1
add chocolate syrup malt oreos,,Gott's Napa,2014-12-22,wayback,1.25,1
add chocolate syrup malt oreos,,Gott's Napa,2017-07-22,wayback,1.25,1
add chocolate syrup malt oreos,,Gott's Napa,2021-01-17,wayback,1.25,1
add chorizo,,Cartwright's Taprock Northwest Grill,2023-06-10,wayback,3.0,1
add flavors vanilla cherry,,Gott's Napa,2017-07-22,wayback,0.99,1
add grey goose vodka,,Bistro Don Giovanni,2020-09-21,wayback,13.0,1
add grey goose vodka,,Bistro Don Giovanni,2022-01-20,wayback,13.0,1
add grey goose vodka,,Bistro Don Giovanni,2023-04-01,wayback,13.0,1
add grey goose vodka,,Bistro Don Giovanni,2023-12-05,wayback,13.0,2
